cruise,lon,lat
EN657,-70.9153,40.8276
EN657,-70.9006,40.8469
EN657,-70.8833,40.8649
EN657,-70.8824,40.8873
EN657,-70.8825,40.9192
EN657,-70.8825,40.9517
EN657,-70.8827,40.9836
EN657,-70.881,41.0159
EN657,-70.881,41.0476
EN657,-70.883,41.0801
EN657,-70.8834,41.1136
EN657,-70.8832,41.1478
EN657,-70.8821,41.182
EN657,-70.8642,41.2001
EN657,-70.8147,41.192
EN657,-70.7691,41.2033
EN657,-70.7946,41.2013
EN657,-70.8417,41.2013
EN657,-70.8779,41.2055
EN657,-70.8829,41.1936
EN657,-70.8823,41.1726
EN657,-70.8831,41.1524
EN657,-70.8831,41.1326
EN657,-70.8836,41.1127
EN657,-70.8843,41.0929
EN657,-70.8852,41.0724
EN657,-70.8854,41.0523
EN657,-70.8854,41.0324
EN657,-70.8856,41.0126
EN657,-70.8856,40.9929
EN657,-70.8871,40.9748
EN657,-70.8899,40.9851
EN657,-70.8839,41.0279
EN657,-70.8827,41.0717
EN657,-70.8816,41.116
EN657,-70.8814,41.1604
EN657,-70.8814,41.2041
EN657,-70.8253,41.2022
EN657,-70.7678,41.2016
EN657,-70.7219,41.2281
EN657,-70.6769,41.2563
EN657,-70.6319,41.2848
EN657,-70.5855,41.3124
EN657,-70.5823,41.3203
EN657,-70.5881,41.3168
EN657,-70.5942,41.3106
EN657,-70.6011,41.3038
EN657,-70.6211,41.2895
EN657,-70.6416,41.2751
EN657,-70.6614,41.2598
EN657,-70.6806,41.2445
EN657,-70.7,41.2289
EN657,-70.7198,41.2138
EN657,-70.7411,41.1996
EN657,-70.7661,41.1918
EN657,-70.7943,41.1907
EN657,-70.823,41.1902
EN657,-70.8506,41.1897
EN657,-70.877,41.1964
EN657,-70.9026,41.207
EN657,-70.9269,41.2176
EN657,-70.9507,41.2281
EN657,-70.9745,41.2389
EN657,-70.9982,41.2501
EN657,-71.0218,41.2616
EN657,-71.046,41.2729
EN657,-71.0707,41.2838
EN657,-71.0959,41.2946
EN657,-71.1206,41.3064
EN657,-71.1451,41.3184
EN657,-71.1693,41.3306
EN657,-71.1937,41.3428
EN657,-71.218,41.3552
EN657,-71.2427,41.3672
EN657,-71.2675,41.3792
EN657,-71.2921,41.3915
EN657,-71.3088,41.4019
EN657,-71.3436,41.4109
EN657,-71.3819,41.4244
EN657,-71.4063,41.4397
EN657,-71.4083,41.4721
EN657,-71.4141,41.4979
EN658,-71.4116,41.4891
EN658,-71.4098,41.462
