cruise,lon,lat
EN696,-72.6144,39.8977
EN696,-72.6422,39.8643
EN696,-72.67,39.8308
EN696,-72.6992,39.7956
EN696,-72.7295,39.7606
EN696,-72.7596,39.7254
EN696,-72.7888,39.6899
EN696,-72.817,39.6532
EN696,-72.8453,39.6163
EN696,-72.8739,39.5795
EN696,-72.9033,39.5425
EN696,-72.933,39.5051
EN696,-72.9627,39.4677
EN696,-72.9923,39.4307
EN696,-73.0224,39.3936
EN696,-73.0534,39.3569
EN696,-73.0852,39.3199
EN696,-73.1167,39.2828
EN696,-73.1472,39.2448
EN696,-73.1766,39.2067
EN696,-73.2068,39.1684
EN696,-73.2368,39.1302
EN696,-73.2665,39.0921
EN696,-73.2963,39.0539
EN696,-73.3269,39.0157
EN696,-73.3574,38.9771
EN696,-73.388,38.9394
EN696,-73.4185,38.9022
EN696,-73.4488,38.865
EN696,-73.4791,38.8283
EN696,-73.509,38.7914
EN696,-73.5389,38.7544
EN696,-73.5688,38.7177
EN696,-73.5986,38.6811
EN696,-73.6285,38.6449
EN696,-73.6584,38.6089
EN696,-73.6884,38.5728
EN696,-73.7182,38.5369
EN696,-73.7469,38.501
EN696,-73.7753,38.4657
EN696,-73.8038,38.4298
EN696,-73.8322,38.3944
EN696,-73.8602,38.3589
EN696,-73.8882,38.3233
EN696,-73.917,38.2885
EN696,-73.9484,38.2554
EN696,-73.981,38.2233
EN696,-74.0192,38.1946
EN696,-74.0569,38.1661
EN696,-74.0945,38.1376
EN696,-74.1319,38.108
EN696,-74.1698,38.0785
EN696,-74.2079,38.049
EN696,-74.2464,38.0193
EN696,-74.2862,37.9903
EN696,-74.3264,37.961
EN696,-74.3663,37.9313
EN696,-74.4056,37.9021
EN696,-74.4455,37.8739
EN696,-74.4853,37.8457
EN696,-74.5257,37.8177
EN696,-74.5643,37.7883
EN696,-74.6032,37.7591
EN696,-74.6422,37.7299
EN696,-74.6816,37.7008
EN696,-74.7215,37.6711
EN696,-74.7614,37.6412
EN696,-74.8012,37.6114
EN696,-74.841,37.5814
EN696,-74.8804,37.5516
EN696,-74.9203,37.522
EN696,-74.96,37.4932
EN696,-74.9996,37.4651
EN696,-74.9996,37.4651
EN696,-75.0385,37.4381
EN696,-75.0775,37.4115
EN696,-75.0775,37.4115
EN696,-75.1147,37.3844
EN696,-75.1147,37.3844
EN696,-75.1498,37.3566
EN696,-75.1838,37.3298
EN696,-75.2178,37.3029
EN696,-75.2521,37.2766
EN696,-75.2861,37.2504
EN696,-75.3203,37.2239
EN696,-75.3539,37.1966
EN696,-75.3736,37.1752
EN696,-75.384,37.1628
EN696,-75.384,37.1628
EN696,-75.3951,37.1498
EN696,-75.3951,37.1498
EN696,-75.4088,37.1368
EN696,-75.4224,37.1272
EN696,-75.4357,37.1177
EN696,-75.4492,37.1084
EN696,-75.4619,37.1004
EN696,-75.4674,37.091
EN696,-75.48,37.0821
EN696,-75.4936,37.0737
EN696,-75.5085,37.0657
EN696,-75.5085,37.0657
EN696,-75.5315,37.0566
EN696,-75.5315,37.0566
EN696,-75.5315,37.0566
EN696,-75.5561,37.0466
EN696,-75.5812,37.0358
EN696,-75.6,37.0196
EN696,-75.5954,37.0181
EN696,-75.5923,37.0168
EN696,-75.5974,37.0183
EN696,-75.6024,37.0229
EN696,-75.6079,37.0286
EN696,-75.6132,37.0342
EN696,-75.6178,37.0396
EN696,-75.622,37.0447
EN696,-75.6185,37.0419
EN696,-75.6128,37.0372
EN696,-75.6093,37.0333
EN696,-75.6125,37.0223
EN696,-75.6144,37.0157
EN696,-75.6159,37.0138
EN696,-75.6165,37.0265
EN696,-75.617,37.0396
EN696,-75.6166,37.0464
EN696,-75.618,37.0406
EN696,-75.616,37.034
EN696,-75.611,37.0265
EN696,-75.605,37.0187
EN696,-75.602,37.013
EN696,-75.6102,37.0194
EN696,-75.6183,37.0259
EN696,-75.6266,37.0312
EN696,-75.6059,36.9977
EN696,-75.5862,36.9619
EN696,-75.5656,36.9264
EN696,-75.5427,36.8924
EN696,-75.5202,36.8581
EN696,-75.4965,36.8246
EN696,-75.474,36.7909
EN696,-75.4536,36.7563
EN696,-75.4366,36.7195
EN696,-75.42,36.6829
EN696,-75.4032,36.6471
EN696,-75.3856,36.6115
EN696,-75.3686,36.5754
EN696,-75.3518,36.5391
EN696,-75.3345,36.5029
EN696,-75.3171,36.4667
EN696,-75.3001,36.4301
EN696,-75.2821,36.3936
EN696,-75.2638,36.3572
EN696,-75.2441,36.3184
EN696,-75.2245,36.2793
EN696,-75.2046,36.2401
EN696,-75.1845,36.2012
EN696,-75.1647,36.1625
EN696,-75.1464,36.1232
EN696,-75.1282,36.0839
EN696,-75.1102,36.0441
EN696,-75.0927,36.0036
EN696,-75.0755,35.9625
EN696,-75.0579,35.9216
EN696,-75.0399,35.8813
EN696,-75.0215,35.8418
EN696,-75.0043,35.803
EN696,-74.998,35.7629
EN696,-75.0031,35.7215
EN696,-75.0082,35.6803
EN696,-75.0121,35.6411
EN696,-75.0171,35.6005
EN696,-75.0212,35.559
EN696,-75.0247,35.5173
